Name,Market,Price,Max,Min,PE,PBV,Paid-up,Market Cap,Dly Vol,Beta
GLOBAL,SET50 / SETCLMV / SETTHSI / SETWB    ,20.20,23.70,16.80,26.17,4.54,4801.74,96995.08,405.43,1.03
GPSC,SET50 / SETCLMV / SETTHSI    ,69.75,80.00,57.25,78.79,1.83,28197.29,196676.12,548.81,1.26
GRAMMY,SET    ,10.50,12.30,9.90,459.50,6.72,819.95,8609.47,0.12,0.84
GULF,SET50 / SETCLMV / SETTHSI    ,54.25,57.25,45.00,70.29,5.96,11733.15,636523.39,835.68,1.32
GUNKUL,SET100 / SETCLMV / SETHD / SETTHSI    ,5.00,7.20,4.80,13.34,3.04,2220.63,44412.65,211.00,1.53
GVREIT,SET    ,9.45,10.30,8.55,999.99,0.85,8046.15,7699.86,4.31,0.19
HANA,SET100 / SETHD / SETTHSI    ,58.00,74.50,32.75,48.12,1.96,804.88,46682.97,845.67,2.38
HFT,sSET    ,6.60,8.55,5.95,8.89,1.19,658.43,4345.67,1.45,0.87
HMPRO,SET50 / SETTHSI / SETWB    ,14.70,16.60,12.40,30.50,8.56,13151.20,193322.61,491.10,0.97
HTC,sSET / SETTHSI    ,30.25,35.25,27.00,14.90,1.67,200.96,6079.06,5.69,0.80
ICHI,sSET / SETCLMV / SETTHSI    ,11.90,12.40,7.20,26.61,2.58,1300.00,15470.00,58.56,1.72
III,sSET    ,15.20,16.97,11.31,23.28,3.97,369.35,11228.21,92.80,0.91
ILM,sSET    ,19.00,25.00,15.00,15.32,1.75,2525.00,9595.00,14.60,1.40
IMH,mai    ,14.10,23.30,10.80,8.40,3.44,107.50,3031.50,15.88,0.32
IMPACT,SET    ,13.90,17.30,11.80,999.99,1.27,15714.50,20606.75,10.17,0.53
INGRS,SET    ,0.57,0.87,0.52,999.99,0.69,1446.94,824.76,0.66,1.89
INOX,SET    ,1.02,1.85,0.95,9.69,0.83,7795.71,7951.62,5.43,1.54
INTUCH,SET50 / SETCLMV / SETHD / SETTHSI    ,74.00,78.75,67.00,23.12,6.31,3206.69,237294.89,286.61,0.59
IP,mai    ,14.80,22.90,13.50,43.39,2.91,186.26,5513.30,22.05,0.53
IRPC,SET100 / SETCLMV / SETTHSI    ,3.10,4.02,2.84,12.72,0.73,20434.42,63346.70,281.75,1.06
IVL,SET50 / SETTHSI    ,41.25,52.75,37.00,4.84,1.09,5614.55,231600.27,882.09,1.10
JASIF,SET    ,8.15,11.30,7.15,999.99,0.74,78812.80,65200.00,39.70,0.58
JMART,SET50    ,37.25,64.00,35.25,18.65,3.06,1457.32,54285.15,390.87,2.14
JMT,SET50    ,55.50,88.25,53.50,46.73,3.60,729.58,80983.27,656.96,1.66
JWD,SETCLMV / SETTHSI / SETWB    ,21.40,22.60,12.50,38.44,5.76,510.00,21828.00,90.99,1.21
KBANK,SET50 / SETCLMV / SETTHSI    ,147.50,175.00,137.50,8.23,0.70,23693.28,349475.82,3172.56,0.97
KCE,SET100    ,50.25,75.50,39.75,23.59,4.61,590.98,59393.77,1237.11,1.79
KEX,SET100 / SETTHSI / SETWB    ,19.10,27.25,17.30,999.99,4.52,871.29,33283.22,48.29,1.03
KGI,sSET    ,5.05,7.00,4.50,8.03,1.36,1991.76,10058.40,10.81,0.97
KKP,SET100 / SETCLMV / SETHD / SETTHSI    ,70.25,76.25,59.50,7.26,1.11,8467.51,59484.27,515.68,0.84
KSL,sSET / SETCLMV    ,3.54,4.16,3.22,11.82,0.75,2205.12,15612.22,12.11,0.91
KTB,SET50 / SETHD / SETTHSI    ,17.90,18.40,12.90,8.20,0.69,71976.72,250171.50,916.00,0.72
KTC,SET50 / SETTHSI    ,57.00,68.00,52.00,22.06,4.95,2578.33,146965.04,400.66,0.98
KYE,SET    ,320.00,377.00,310.00,39.39,0.81,198.00,6336.00,0.19,0.14
LALIN,sSET    ,9.20,11.80,8.35,6.34,0.99,925.00,8509.99,2.35,0.85
LANNA,sSET    ,16.30,24.60,16.10,3.00,1.17,525.00,8557.49,31.88,0.65
LH,SET50 / SETHD    ,9.90,10.10,8.00,14.19,2.38,11949.71,118302.16,307.82,0.80
